sample_id,height,width,feature_bicubic_psnr_vs_vae,rf_1step_psnr_vs_vae,rf_4step_psnr_vs_vae,feature_bicubic_ssim_vs_vae,rf_1step_ssim_vs_vae,rf_4step_ssim_vs_vae,rf_1step_psnr_vs_raw,rf_4step_psnr_vs_raw,rgb_l1_bicubic_vs_vae,rgb_l1_rf_1step_vs_vae,rgb_l1_rf_4step_vs_vae,gate_mean
img048,1024,672,14.412766591272757,18.17447381530258,18.00922388295763,0.587225079536438,0.7773927450180054,0.7815327644348145,18.049419060385727,17.90930267271329,0.19684088230133057,0.12126348167657852,0.1229485347867012,0.9883984327316284
img049,672,1024,17.338462256766142,21.33903017675459,21.147482165497244,0.47488296031951904,0.7055514454841614,0.7034957408905029,21.057151970349864,20.890462546543077,0.1668422371149063,0.10500548034906387,0.10694639384746552,0.9992147088050842
img050,1024,672,20.150643699836195,22.96130753954555,22.76598253962217,0.5522407293319702,0.7209968566894531,0.7214758992195129,22.727546085011788,22.56738514301081,0.11189314723014832,0.07848454266786575,0.07972615212202072,0.9887282252311707
img051,672,1024,21.567362648356596,25.68474766900398,25.428897139579163,0.6379770040512085,0.8159983158111572,0.814359188079834,25.163318307353762,24.96797768978326,0.09889665991067886,0.060378506779670715,0.06246636435389519,0.9981130957603455
img052,672,1024,21.52231955462003,27.349915705489476,27.140453926663398,0.6877395510673523,0.8899180889129639,0.8890166282653809,27.043863328580038,26.903821394802776,0.09591127187013626,0.04801712557673454,0.04931924119591713,0.9982441663742065
img053,656,1024,17.06897058551551,21.003554352553437,20.839919821681843,0.48418062925338745,0.7249898910522461,0.7263847589492798,20.881657873931395,20.736771539725698,0.17755867540836334,0.11415155977010727,0.11605088412761688,0.9969455003738403
img054,672,1024,16.6075524495,19.637475959427913,19.405697815871502,0.4264758229255676,0.6395395994186401,0.6406533718109131,19.335264861508538,19.146949980160922,0.18716967105865479,0.13152530789375305,0.1346132755279541,0.9891088604927063
img055,768,1024,22.81135078857487,28.725843535351974,28.326936317848563,0.7117237448692322,0.8941725492477417,0.8897532224655151,28.173120935631232,27.86348092140015,0.08533135056495667,0.0449921078979969,0.04745633900165558,0.9994577765464783
img056,768,1024,19.347863533176586,23.427709357262806,23.158314320211744,0.5288448929786682,0.7598860859870911,0.7586578130722046,23.20564734912029,22.978302226517258,0.13812895119190216,0.08510939031839371,0.08793240040540695,0.9991411566734314
img057,720,1024,23.48560578230373,28.73395768683942,28.54557805851917,0.7078489065170288,0.8656288385391235,0.8649894595146179,28.309638770936584,28.178038621922386,0.07130943238735199,0.0403866171836853,0.041532739996910095,0.9983586668968201
img058,688,1024,19.319337784928074,23.401173124075328,23.160165280753645,0.6227113008499146,0.8278390765190125,0.8269079923629761,23.225772283398438,23.002546850386363,0.1336698681116104,0.08148229867219925,0.08369829505681992,0.9984221458435059
img059,656,1024,17.176232276046967,20.018947428658954,19.780575469581116,0.5824481248855591,0.7304114103317261,0.7303974628448486,19.918859619505657,19.69887714129389,0.1351003646850586,0.09381796419620514,0.09605638682842255,0.9829354286193848
img060,672,1024,17.922823301984643,20.676760946184586,20.442074352149795,0.33812347054481506,0.5516952276229858,0.5529019236564636,20.42780780854573,20.21319512470905,0.17808829247951508,0.1286284625530243,0.1316567212343216,0.9991695880889893
img061,672,1024,19.403459554480417,22.556199099434945,22.27911991087234,0.5198187232017517,0.7199022173881531,0.7206199765205383,22.171821434804393,21.93620155591923,0.1372017115354538,0.0927097499370575,0.09514624625444412,0.9922149777412415
img062,672,1024,16.441197651848622,19.623189428199193,19.491917722526114,0.540043294429779,0.7584580779075623,0.763840913772583,19.714455126251192,19.57160153543372,0.16547955572605133,0.10800530016422272,0.10818785429000854,0.9583724737167358
